date,region,category,product,promotion,sales,units_sold,inventory
2026-01-04,West,Snacks,Biscuits,No,141303.0,2900,4486
2026-01-04,West,Dairy,Milk,Yes,103584.43,4761,4941
2026-01-05,North,Beverages,Cola,No,57492.0,2673,4405
2026-01-05,North,Snacks,Namkeen,Yes,79760.97,3560,2022
2026-01-05,North,Dairy,Milk,Yes,188159.95,5859,2516
2026-01-05,South,Beverages,Energy Drink,Yes,147527.75,3714,4782
2026-01-05,South,Snacks,Biscuits,No,76772.0,1914,3073
2026-01-05,South,Dairy,Milk,No,101876.0,4257,2957
2026-01-05,East,Beverages,Juice,No,148548.0,3090,576
2026-01-05,East,Snacks,Biscuits,Yes,75175.43,2137,1585
2026-01-05,East,Dairy,Yogurt,Yes,99312.16,4015,4950
2026-01-05,West,Beverages,Energy Drink,No,130173.0,2628,4833
2026-01-05,West,Snacks,Chips,No,136951.0,5926,1600
2026-01-05,West,Dairy,Yogurt,Yes,84692.76,3433,2808
2026-01-06,North,Beverages,Energy Drink,Yes,173282.19,4265,2662
2026-01-06,North,Snacks,Namkeen,No,82914.0,1758,916
2026-01-06,North,Dairy,Milk,No,86265.0,4045,3232
2026-01-06,South,Beverages,Cola,No,71178.0,1685,4003
2026-01-06,South,Snacks,Namkeen,Yes,72588.95,1561,1721
2026-01-06,South,Dairy,Cheese,Yes,125426.76,5131,1544
2026-01-06,East,Beverages,Cola,No,97795.0,2082,826
2026-01-06,East,Snacks,Biscuits,Yes,163774.16,7094,3829
2026-01-06,East,Dairy,Cheese,Yes,110149.34,2234,1950
2026-01-06,West,Beverages,Juice,Yes,97103.14,3240,3872
2026-01-06,West,Snacks,Namkeen,Yes,97525.11,2376,3633
2026-01-06,West,Dairy,Milk,No,79154.0,3045,4270
2026-01-07,North,Beverages,Juice,No,79831.0,2991,2082
2026-01-07,North,Snacks,Biscuits,No,86517.0,1883,2786
2026-01-07,North,Dairy,Yogurt,No,139065.0,2813,4892
2026-01-07,South,Beverages,Juice,Yes,88763.1,3188,2674
2026-01-07,South,Snacks,Chips,Yes,157724.71,3768,3069
2026-01-07,South,Dairy,Yogurt,Yes,137653.63,5355,863
2026-01-07,East,Beverages,Energy Drink,No,50221.0,1410,4910
2026-01-07,East,Snacks,Namkeen,Yes,120159.27,2479,3204
2026-01-07,East,Dairy,Cheese,No,136951.0,3013,2960
2026-01-07,West,Beverages,Energy Drink,No,137410.0,4260,3796
2026-01-07,West,Snacks,Namkeen,No,122667.0,5150,3944
2026-01-07,West,Dairy,Cheese,No,138777.0,3269,1925
2026-01-08,North,Beverages,Energy Drink,No,103225.0,2832,503
2026-01-08,North,Snacks,Biscuits,No,77549.0,2357,3139
2026-01-08,North,Dairy,Yogurt,No,107954.0,2680,4687
2026-01-08,South,Beverages,Juice,Yes,153460.31,4327,3245
2026-01-08,South,Snacks,Chips,Yes,164870.9,3730,1707
2026-01-08,South,Dairy,Milk,Yes,114533.18,2987,1096
2026-01-08,East,Beverages,Juice,No,132544.0,3556,3645
2026-01-08,East,Snacks,Biscuits,No,81979.0,3356,545
2026-01-08,East,Dairy,Milk,No,78683.0,3112,4743
2026-01-08,West,Beverages,Juice,Yes,144565.9,3180,4239
2026-01-08,West,Snacks,Chips,No,137500.0,3826,3099
2026-01-08,West,Dairy,Yogurt,No,121810.0,3649,1803
2026-01-09,North,Beverages,Energy Drink,No,108991.0,3923,2525
2026-01-09,North,Snacks,Namkeen,No,118327.0,3426,2459
2026-01-09,North,Dairy,Yogurt,No,60155.0,1452,2420
2026-01-09,South,Beverages,Juice,No,91904.0,1964,1160
2026-01-09,South,Snacks,Chips,Yes,97570.68,3968,2252
2026-01-09,South,Dairy,Milk,No,103424.0,3455,4316
2026-01-09,East,Beverages,Juice,Yes,104088.27,3285,660
2026-01-09,East,Snacks,Namkeen,No,112518.0,5576,3381
2026-01-09,East,Dairy,Yogurt,No,104921.0,2902,4973
2026-01-09,West,Beverages,Energy Drink,Yes,132896.06,4018,737
2026-01-09,West,Snacks,Biscuits,No,137670.0,3409,3812
2026-01-09,West,Dairy,Cheese,Yes,153079.84,3097,4875
2026-01-10,North,Beverages,Cola,No,127580.0,3454,722
2026-01-10,North,Snacks,Chips,No,67786.0,1473,1988
2026-01-10,North,Dairy,Milk,No,99689.0,3342,4224
2026-01-10,South,Beverages,Juice,No,149775.0,3228,2779
2026-01-10,South,Snacks,Biscuits,No,60735.0,1780,4918
2026-01-10,South,Dairy,Milk,No,79389.0,2009,829
2026-01-10,East,Beverages,Cola,Yes,102910.15,2663,2454
2026-01-10,East,Snacks,Chips,No,137747.0,5878,2285
2026-01-10,East,Dairy,Yogurt,No,98351.0,3928,1438
2026-01-10,West,Beverages,Cola,No,64168.0,1717,3055
2026-01-10,West,Snacks,Namkeen,No,101990.0,2114,2124
2026-01-10,West,Dairy,Milk,Yes,82943.01,2855,1491
2026-01-11,North,Beverages,Energy Drink,Yes,120323.23,3019,1064
2026-01-11,North,Snacks,Namkeen,No,51658.0,1135,4515
2026-01-11,North,Dairy,Milk,No,97472.0,2494,4266
2026-01-11,South,Beverages,Energy Drink,Yes,123446.22,3462,2712
2026-01-11,South,Snacks,Namkeen,No,110931.0,3354,2698
2026-01-11,South,Dairy,Yogurt,Yes,72629.33,2166,4306
2026-01-11,East,Beverages,Energy Drink,No,94092.0,4510,3162
2026-01-11,East,Snacks,Chips,No,77802.0,2538,2616
2026-01-11,East,Dairy,Yogurt,No,128139.0,3122,2763
2026-01-11,West,Beverages,Energy Drink,Yes,162966.86,7221,3829
2026-01-11,West,Snacks,Biscuits,Yes,174640.94,4222,4171
2026-01-11,West,Dairy,Milk,Yes,103310.37,2534,3008
2026-01-12,North,Beverages,Energy Drink,No,112031.0,3060,3316
2026-01-12,North,Snacks,Biscuits,No,96112.0,2339,2719
2026-01-12,North,Dairy,Yogurt,No,80217.0,3396,2077
2026-01-12,South,Beverages,Juice,Yes,185798.08,4334,2016
2026-01-12,South,Snacks,Chips,Yes,182816.56,4380,4797
2026-01-12,South,Dairy,Cheese,No,63176.0,1404,2926
2026-01-12,East,Beverages,Cola,No,73519.0,2529,4875
2026-01-12,East,Snacks,Chips,No,55965.0,1136,2893
2026-01-12,East,Dairy,Cheese,Yes,181776.09,5234,600
2026-01-12,West,Beverages,Energy Drink,No,111524.0,3245,3291
2026-01-12,West,Snacks,Chips,Yes,114859.66,3345,1035
2026-01-12,West,Dairy,Yogurt,No,59710.0,1600,939
2026-01-13,North,Beverages,Cola,Yes,171391.75,7598,2533
2026-01-13,North,Snacks,Chips,No,129471.0,3417,2348
2026-01-13,North,Dairy,Cheese,No,109049.0,2307,2935
2026-01-13,South,Beverages,Energy Drink,No,90026.0,2429,993
2026-01-13,South,Snacks,Namkeen,Yes,174319.07,6620,1165
2026-01-13,South,Dairy,Milk,Yes,92112.73,3729,3846
2026-01-13,East,Beverages,Juice,No,88175.0,4202,2860
2026-01-13,East,Snacks,Namkeen,No,142141.0,3104,1083
2026-01-13,East,Dairy,Cheese,Yes,113155.3,2920,2120
2026-01-13,West,Beverages,Juice,Yes,141699.54,5790,2676
2026-01-13,West,Snacks,Chips,Yes,66475.5,2274,2864
2026-01-13,West,Dairy,Yogurt,Yes,145598.74,3551,2730
2026-01-14,North,Beverages,Energy Drink,No,107377.0,4790,826
2026-01-14,North,Snacks,Biscuits,No,129129.0,4693,1248
2026-01-14,North,Dairy,Milk,Yes,185964.37,4987,1935
2026-01-14,South,Beverages,Juice,No,86458.0,3397,4070
2026-01-14,South,Snacks,Namkeen,No,61959.0,1816,3845
2026-01-14,South,Dairy,Yogurt,No,137835.0,5957,1817
2026-01-14,East,Beverages,Juice,No,140921.0,4042,3780
2026-01-14,East,Snacks,Namkeen,Yes,123471.18,4478,1449
2026-01-14,East,Dairy,Yogurt,Yes,185342.36,5473,944
2026-01-14,West,Beverages,Cola,No,131609.0,3082,4121
2026-01-14,West,Snacks,Chips,Yes,107508.9,2247,4089
2026-01-14,West,Dairy,Cheese,No,65915.0,3158,2460
2026-01-15,North,Beverages,Energy Drink,Yes,114796.29,3139,1263
2026-01-15,North,Snacks,Chips,Yes,152920.15,3878,1761
2026-01-15,North,Dairy,Yogurt,No,116698.0,2835,3903
2026-01-15,South,Beverages,Juice,No,81946.0,2431,1684
2026-01-15,South,Snacks,Biscuits,Yes,161019.09,3471,1071
2026-01-15,South,Dairy,Yogurt,No,94548.0,1968,4659
2026-01-15,East,Beverages,Juice,Yes,114744.81,2542,4511
2026-01-15,East,Snacks,Chips,No,120592.0,3492,3223
2026-01-15,East,Dairy,Cheese,No,109682.0,2285,2045
2026-01-15,West,Beverages,Energy Drink,Yes,151795.8,3322,3865
2026-01-15,West,Snacks,Chips,No,147609.0,4317,3623
2026-01-15,West,Dairy,Yogurt,Yes,159679.46,6712,3219
2026-01-16,North,Beverages,Cola,No,63069.0,1762,4243
2026-01-16,North,Snacks,Chips,Yes,141213.73,2876,1112
2026-01-16,North,Dairy,Yogurt,No,94375.0,2438,3756
2026-01-16,South,Beverages,Energy Drink,Yes,126168.44,2755,3613
2026-01-16,South,Snacks,Biscuits,No,120912.0,5736,1060
2026-01-16,South,Dairy,Milk,No,79817.0,1882,4055
2026-01-16,East,Beverages,Cola,Yes,124366.16,4290,737
2026-01-16,East,Snacks,Chips,No,57355.0,1991,3570
2026-01-16,East,Dairy,Yogurt,Yes,103275.51,2792,1975
2026-01-16,West,Beverages,Cola,Yes,77419.85,2459,2472
2026-01-16,West,Snacks,Biscuits,Yes,99603.8,3606,2591
2026-01-16,West,Dairy,Cheese,Yes,152084.24,3771,1794
2026-01-17,North,Beverages,Cola,No,95293.0,1920,2950
2026-01-17,North,Snacks,Namkeen,No,140480.0,5107,2974
2026-01-17,North,Dairy,Milk,No,113335.0,4885,3624
2026-01-17,South,Beverages,Energy Drink,No,125341.0,4340,2918
2026-01-17,South,Snacks,Chips,No,85976.0,4247,901
2026-01-17,South,Dairy,Cheese,No,87512.0,2022,2385
2026-01-17,East,Beverages,Energy Drink,No,78705.0,2012,2553
2026-01-17,East,Snacks,Namkeen,Yes,149437.25,3849,822
2026-01-17,East,Dairy,Yogurt,No,54373.0,1454,1576
2026-01-17,West,Beverages,Cola,No,92823.0,2187,1938
2026-01-17,West,Snacks,Chips,Yes,164508.0,5310,4610
2026-01-17,West,Dairy,Yogurt,Yes,114995.66,2379,2917
2026-01-18,North,Beverages,Energy Drink,No,65095.0,1911,1116
2026-01-18,North,Snacks,Chips,Yes,182634.84,3697,3496
2026-01-18,North,Dairy,Milk,No,51824.0,1855,1512
2026-01-18,South,Beverages,Juice,No,138188.0,3253,2647
2026-01-18,South,Snacks,Namkeen,No,133695.0,2773,1387
2026-01-18,South,Dairy,Cheese,Yes,123816.0,2661,3187
2026-01-18,East,Beverages,Energy Drink,Yes,150936.09,3375,2975
2026-01-18,East,Snacks,Namkeen,No,65292.0,2698,804
2026-01-18,East,Dairy,Yogurt,No,65220.0,2846,4903
2026-01-18,West,Beverages,Cola,No,109459.0,3516,4925
2026-01-18,West,Snacks,Biscuits,Yes,135324.93,3006,3843
2026-01-18,West,Dairy,Yogurt,Yes,170138.77,5109,2434
2026-01-19,North,Beverages,Juice,Yes,169274.37,3597,3438
2026-01-19,North,Snacks,Chips,No,86160.0,3353,1500
2026-01-19,North,Dairy,Yogurt,Yes,159266.28,4064,674
2026-01-19,South,Beverages,Cola,No,81925.0,1649,2181
2026-01-19,South,Snacks,Chips,Yes,147762.35,3205,3191
2026-01-19,South,Dairy,Milk,Yes,117211.15,4815,1564
2026-01-19,East,Beverages,Energy Drink,No,72871.0,3127,711
2026-01-19,East,Snacks,Chips,Yes,129628.39,4776,3152
2026-01-19,East,Dairy,Milk,Yes,94592.95,2238,4809
2026-01-19,West,Beverages,Cola,Yes,138783.0,4497,1393
2026-01-19,West,Snacks,Biscuits,Yes,145384.64,3342,4771
2026-01-19,West,Dairy,Yogurt,No,134323.0,2745,998
2026-01-20,North,Beverages,Juice,No,105872.0,2608,4516
2026-01-20,North,Snacks,Namkeen,No,59632.0,1269,3138
2026-01-20,North,Dairy,Cheese,Yes,66688.69,1721,4992
2026-01-20,South,Beverages,Energy Drink,No,99925.0,2004,4846
2026-01-20,South,Snacks,Biscuits,No,116263.0,3046,1312
2026-01-20,South,Dairy,Cheese,Yes,175916.48,4084,2261
2026-01-20,East,Beverages,Juice,No,79949.0,2466,4215
2026-01-20,East,Snacks,Biscuits,No,145631.0,6372,3996
2026-01-20,East,Dairy,Yogurt,No,99060.0,2037,4385
2026-01-20,West,Beverages,Cola,Yes,69018.17,3014,3552
2026-01-20,West,Snacks,Chips,Yes,175965.7,4775,1501
2026-01-20,West,Dairy,Yogurt,No,137207.0,2844,3964
2026-01-21,North,Beverages,Energy Drink,Yes,112266.79,3674,4656
2026-01-21,North,Snacks,Chips,Yes,169371.66,3729,3368
2026-01-21,North,Dairy,Cheese,No,65058.0,1517,2352
2026-01-21,South,Beverages,Juice,Yes,178988.87,3987,2690
2026-01-21,South,Snacks,Chips,Yes,112491.06,3843,3283
2026-01-21,South,Dairy,Yogurt,Yes,100407.46,2714,3783
2026-01-21,East,Beverages,Cola,Yes,189777.68,9071,4845
2026-01-21,East,Snacks,Chips,No,105028.0,3124,1789
2026-01-21,East,Dairy,Yogurt,No,144581.0,4862,1195
2026-01-21,West,Beverages,Cola,Yes,93681.39,4358,1168
2026-01-21,West,Snacks,Biscuits,No,136761.0,4179,4121
2026-01-21,West,Dairy,Yogurt,No,78255.0,1834,1432
2026-01-22,North,Beverages,Juice,No,64534.0,2264,4486
2026-01-22,North,Snacks,Namkeen,No,55952.0,2102,948
2026-01-22,North,Dairy,Milk,Yes,123841.64,2878,2593
2026-01-22,South,Beverages,Juice,No,65726.0,3248,4027
2026-01-22,South,Snacks,Chips,Yes,125768.35,4674,3401
2026-01-22,South,Dairy,Milk,No,147260.0,6923,653
2026-01-22,East,Beverages,Juice,Yes,115860.23,3114,3921
2026-01-22,East,Snacks,Biscuits,Yes,114041.82,3834,4269
2026-01-22,East,Dairy,Cheese,No,61551.0,1859,1367
2026-01-22,West,Beverages,Cola,No,127184.0,3972,1144
2026-01-22,West,Snacks,Biscuits,No,147754.0,4894,3228
2026-01-22,West,Dairy,Milk,Yes,150810.09,4198,2088
2026-01-23,North,Beverages,Juice,No,145339.0,2981,1709
2026-01-23,North,Snacks,Chips,Yes,81426.84,3230,1752
2026-01-23,North,Dairy,Cheese,Yes,101435.31,2611,4300
2026-01-23,South,Beverages,Energy Drink,No,139277.0,2918,3147
2026-01-23,South,Snacks,Namkeen,No,69786.0,2102,4341
2026-01-23,South,Dairy,Yogurt,No,86002.0,2278,3383
2026-01-23,East,Beverages,Energy Drink,Yes,112315.44,5315,3520
2026-01-23,East,Snacks,Biscuits,Yes,182818.41,4004,4653
2026-01-23,East,Dairy,Yogurt,No,126064.0,3441,836
2026-01-23,West,Beverages,Juice,Yes,118081.42,3369,1006
2026-01-23,West,Snacks,Biscuits,Yes,132518.91,5881,1913
2026-01-23,West,Dairy,Milk,Yes,175770.77,5297,4782
2026-01-24,North,Beverages,Energy Drink,Yes,118393.44,4156,3848
2026-01-24,North,Snacks,Biscuits,Yes,171727.58,7813,1274
2026-01-24,North,Dairy,Cheese,No,87243.0,3165,1731
2026-01-24,South,Beverages,Juice,Yes,164178.19,3456,3041
2026-01-24,South,Snacks,Namkeen,No,66901.0,1767,1194
2026-01-24,South,Dairy,Yogurt,No,134343.0,3070,1546
2026-01-24,East,Beverages,Energy Drink,Yes,175230.6,4970,649
2026-01-24,East,Snacks,Biscuits,No,73627.0,1516,3299
2026-01-24,East,Dairy,Yogurt,Yes,111569.64,4526,2923
2026-01-24,West,Beverages,Cola,Yes,164252.77,3820,1573
2026-01-24,West,Snacks,Namkeen,No,70218.0,2823,1856
2026-01-24,West,Dairy,Cheese,No,55726.0,1723,2445
2026-01-25,North,Beverages,Juice,No,148617.0,3500,4177
2026-01-25,North,Snacks,Chips,Yes,125852.11,2891,2089
2026-01-25,North,Dairy,Yogurt,No,110513.0,2565,3628
2026-01-25,South,Beverages,Energy Drink,No,71241.0,1600,1633
2026-01-25,South,Snacks,Biscuits,Yes,166769.51,5356,1340
2026-01-25,South,Dairy,Cheese,Yes,98297.57,3962,4180
2026-01-25,East,Beverages,Energy Drink,Yes,121027.36,2557,4195
2026-01-25,East,Snacks,Biscuits,Yes,116486.8,3322,2431
2026-01-25,East,Dairy,Yogurt,Yes,115732.23,3915,1311
2026-01-25,West,Beverages,Energy Drink,No,69142.0,2865,2850
2026-01-25,West,Snacks,Biscuits,Yes,196043.45,5859,543
2026-01-25,West,Dairy,Milk,Yes,97303.4,3973,4823
2026-01-26,North,Beverages,Juice,Yes,102794.93,4345,2453
2026-01-26,North,Snacks,Biscuits,No,58232.0,2496,4594
2026-01-26,North,Dairy,Cheese,Yes,166651.46,6113,1676
2026-01-26,South,Beverages,Juice,No,50205.0,1305,2470
2026-01-26,South,Snacks,Namkeen,No,74551.0,1866,1201
2026-01-26,South,Dairy,Cheese,No,58870.0,1211,4957
2026-01-26,East,Beverages,Energy Drink,Yes,137803.02,6467,3669
2026-01-26,East,Snacks,Biscuits,No,147952.0,7221,1053
2026-01-26,East,Dairy,Yogurt,Yes,189469.38,8198,3223
2026-01-26,West,Beverages,Cola,Yes,121547.63,2737,1934
2026-01-26,West,Snacks,Namkeen,No,141146.0,4108,1993
2026-01-26,West,Dairy,Milk,Yes,191735.5,5684,2903
2026-01-27,North,Beverages,Cola,Yes,103992.69,3529,3040
2026-01-27,North,Snacks,Namkeen,No,121176.0,3542,799
2026-01-27,North,Dairy,Cheese,Yes,105621.78,2432,3219
2026-01-27,South,Beverages,Juice,Yes,120938.14,3779,4102
2026-01-27,South,Snacks,Biscuits,No,74486.0,2135,4575
2026-01-27,South,Dairy,Yogurt,No,60828.0,1454,1146
2026-01-27,East,Beverages,Juice,Yes,144353.03,6255,3186
2026-01-27,East,Snacks,Namkeen,No,90173.0,2701,3990
2026-01-27,East,Dairy,Milk,No,96077.0,2875,3388
2026-01-27,West,Beverages,Energy Drink,No,85986.0,2194,969
2026-01-27,West,Snacks,Chips,No,97619.0,2758,1810
2026-01-27,West,Dairy,Milk,Yes,168969.72,5097,1534
2026-01-28,North,Beverages,Cola,Yes,162806.37,5170,765
2026-01-28,North,Snacks,Namkeen,Yes,171669.18,5514,4136
2026-01-28,North,Dairy,Milk,Yes,144480.52,4909,2783
2026-01-28,South,Beverages,Cola,Yes,70520.23,2016,3670
2026-01-28,South,Snacks,Namkeen,Yes,112343.51,2732,2257
2026-01-28,South,Dairy,Cheese,No,140961.0,2967,4523
2026-01-28,East,Beverages,Cola,Yes,91912.93,2738,4146
2026-01-28,East,Snacks,Chips,No,137535.0,4520,1031
2026-01-28,East,Dairy,Cheese,No,89315.0,1961,1926
2026-01-28,West,Beverages,Juice,Yes,91975.84,2101,2439
2026-01-28,West,Snacks,Biscuits,Yes,123205.68,3965,1563
2026-01-28,West,Dairy,Cheese,Yes,69917.61,1398,4421
2026-01-29,North,Beverages,Energy Drink,No,103665.0,2319,1104
2026-01-29,North,Snacks,Chips,No,134192.0,6037,4316
2026-01-29,North,Dairy,Cheese,No,66821.0,1442,1990
2026-01-29,South,Beverages,Cola,No,115911.0,2449,953
2026-01-29,South,Snacks,Chips,Yes,103287.12,3480,2347
2026-01-29,South,Dairy,Yogurt,No,60336.0,2192,2748
2026-01-29,East,Beverages,Cola,No,130534.0,3625,4617
2026-01-29,East,Snacks,Namkeen,Yes,176361.86,7161,3265
2026-01-29,East,Dairy,Cheese,Yes,60398.74,1246,2668
2026-01-29,West,Beverages,Energy Drink,Yes,153110.98,3908,4579
2026-01-29,West,Snacks,Namkeen,No,134136.0,2754,4456
2026-01-29,West,Dairy,Milk,No,88985.0,2647,990
2026-01-30,North,Beverages,Cola,No,104476.0,3025,2171
2026-01-30,North,Snacks,Biscuits,Yes,123577.79,4177,3329
2026-01-30,North,Dairy,Yogurt,Yes,181312.17,4920,3114
2026-01-30,South,Beverages,Cola,No,66059.0,2357,2530
2026-01-30,South,Snacks,Chips,Yes,67225.79,2132,3925
2026-01-30,South,Dairy,Milk,Yes,128237.12,3080,2055
2026-01-30,East,Beverages,Cola,No,117466.0,3454,3027
2026-01-30,East,Snacks,Biscuits,Yes,85507.38,2431,2472
2026-01-30,East,Dairy,Milk,No,56377.0,2620,4554
2026-01-30,West,Beverages,Energy Drink,No,87453.0,2422,1380
2026-01-30,West,Snacks,Biscuits,Yes,111608.52,2600,3497
2026-01-30,West,Dairy,Milk,No,56705.0,1528,2094
2026-01-31,North,Beverages,Juice,No,59637.0,1887,4189
2026-01-31,North,Snacks,Namkeen,No,131689.0,3258,1473
2026-01-31,North,Dairy,Milk,Yes,123170.23,2483,3495
2026-01-31,South,Beverages,Cola,Yes,161560.45,4615,871
2026-01-31,South,Snacks,Chips,Yes,172224.6,5033,4243
2026-01-31,South,Dairy,Milk,Yes,128267.26,4339,3719
2026-01-31,East,Beverages,Energy Drink,No,127820.0,4247,4675
2026-01-31,East,Snacks,Namkeen,No,142895.0,3873,4390
2026-01-31,East,Dairy,Milk,No,93416.0,2322,3912
2026-01-31,West,Beverages,Energy Drink,No,145069.0,3142,718
2026-01-31,West,Snacks,Namkeen,No,84803.0,1730,2364
2026-01-31,West,Dairy,Cheese,Yes,157361.88,4404,3614
2026-02-01,North,Beverages,Cola,Yes,68851.14,1678,2062
2026-02-01,North,Snacks,Chips,No,91116.0,2798,3882
2026-02-01,North,Dairy,Cheese,Yes,129791.65,3384,4363
2026-02-01,South,Beverages,Energy Drink,Yes,162661.02,6203,3162
2026-02-01,South,Snacks,Namkeen,No,118875.0,3797,1918
2026-02-01,South,Dairy,Yogurt,No,121601.0,3970,2665
2026-02-01,East,Beverages,Energy Drink,No,75200.0,1543,2785
2026-02-01,East,Snacks,Namkeen,No,79473.0,1647,2938
2026-02-01,East,Dairy,Yogurt,Yes,184227.22,6242,3357
2026-02-01,West,Beverages,Energy Drink,No,87721.0,3708,4949
2026-02-01,West,Snacks,Biscuits,No,95237.0,1958,1699
2026-02-01,West,Dairy,Yogurt,Yes,121604.3,5435,4123
2026-02-02,North,Beverages,Energy Drink,No,147955.0,4304,2155
2026-02-02,North,Snacks,Namkeen,No,123664.0,3024,1624
2026-02-02,North,Dairy,Milk,Yes,91202.36,1934,2348
2026-02-02,South,Beverages,Energy Drink,Yes,64277.78,2149,4369
2026-02-02,South,Snacks,Chips,Yes,70411.15,1427,1793
2026-02-02,South,Dairy,Yogurt,No,112580.0,2848,2853
2026-02-02,East,Beverages,Juice,No,134659.0,6184,1232
2026-02-02,East,Snacks,Namkeen,Yes,158781.7,3488,805
2026-02-02,East,Dairy,Milk,No,73040.0,1521,797
2026-02-02,West,Beverages,Juice,No,74420.0,1547,2871
2026-02-02,West,Snacks,Chips,Yes,113204.32,4875,3244
2026-02-02,West,Dairy,Yogurt,No,134058.0,3693,4546
2026-02-03,North,Beverages,Cola,No,85761.0,3326,1422
2026-02-03,North,Snacks,Biscuits,Yes,180488.81,6511,2025
2026-02-03,North,Dairy,Milk,No,88669.0,2394,2082
2026-02-03,South,Beverages,Cola,No,106059.0,2991,1210
2026-02-03,South,Snacks,Biscuits,Yes,103498.81,3015,2532
2026-02-03,South,Dairy,Milk,No,100275.0,3704,2687
2026-02-03,East,Beverages,Juice,No,126344.0,3030,593
2026-02-03,East,Snacks,Biscuits,No,140802.0,5197,1468
2026-02-03,East,Dairy,Yogurt,No,70934.0,2205,4616
2026-02-03,West,Beverages,Energy Drink,No,140477.0,5972,2916
2026-02-03,West,Snacks,Biscuits,Yes,109202.41,3179,4227
2026-02-03,West,Dairy,Cheese,No,104505.0,2545,4357
2026-02-04,North,Beverages,Energy Drink,Yes,175969.2,4126,1170
2026-02-04,North,Snacks,Namkeen,No,119228.0,2900,1139
2026-02-04,North,Dairy,Cheese,Yes,78347.44,1663,2156
2026-02-04,South,Beverages,Energy Drink,Yes,85767.22,2408,1452
2026-02-04,South,Snacks,Namkeen,Yes,183549.91,8075,4680
2026-02-04,South,Dairy,Yogurt,Yes,124706.88,3841,972
2026-02-04,East,Beverages,Energy Drink,No,138181.0,3125,678
2026-02-04,East,Snacks,Biscuits,No,50395.0,1189,1098
2026-02-04,East,Dairy,Milk,No,95158.0,2320,4933
2026-02-04,West,Beverages,Cola,Yes,124127.6,3847,1609
2026-02-04,West,Snacks,Namkeen,No,99081.0,1990,3633
2026-02-04,West,Dairy,Yogurt,No,99236.0,4428,4917
2026-02-05,North,Beverages,Cola,No,65549.0,2585,4901
2026-02-05,North,Snacks,Biscuits,Yes,202633.35,4498,686
2026-02-05,North,Dairy,Yogurt,No,138276.0,3326,3974
